film_id,avg_rental_cost,avg_hours_rented,avg_hours_rental_allowed,category_id,language_id,hours_length,avg_replacement_cost,rating,description,special_features,actors_in_film,actor_list,total_actor_fame,total_actor_influence,num_rent
13,6.101111,110.625,96.0,11,1,2.5,21.99,PG,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,"{'Deleted Scenes', 'Behind the Scenes'}",5,"114,77,91,94,176",131.0,500.0,9
15,4.126364,116.0909,120.0,9,1,0.7667,10.99,NC-17,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",6,"69,36,164,170,105,117",167.0,649.0,22
16,3.775714,131.7857,144.0,9,1,3.0,23.99,NC-17,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,"{'Commentaries', 'Trailers'}",5,"146,57,12,192,191",153.0,554.0,14
17,3.49,128.8235,72.0,12,1,1.3667,14.99,R,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,"{'Behind the Scenes', 'Trailers'}",8,"187,82,100,160,167,3,12,13",222.0,845.0,18
18,1.49,110.6364,144.0,2,1,0.95,27.99,PG-13,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,"{'Behind the Scenes', 'Trailers'}",4,"45,142,144,162",123.0,455.0,22
19,1.609048,117.7,144.0,1,1,1.8833,20.99,PG,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",6,"104,84,5,27,37,43",185.0,700.0,21
20,6.79,116.5,96.0,12,1,1.3167,23.99,R,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",6,"102,136,139,155,159,52",189.0,704.0,10
21,7.626364,129.5714,72.0,1,1,2.15,17.99,R,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,"{'Commentaries', 'Behind the Scenes'}",5,"105,119,126,25,26",143.0,555.0,22
22,3.370952,109.25,144.0,13,1,1.4167,10.99,G,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,"{'Commentaries', 'Behind the Scenes'}",4,"95,122,124,77",106.0,400.0,21
23,2.894762,106.2381,72.0,2,1,1.5333,9.99,R,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,"{'Deleted Scenes', 'Trailers'}",5,"1,4,22,150,164",127.0,516.0,21
24,3.99,135.0,144.0,11,1,3.0167,19.99,R,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,"{'Behind the Scenes', 'Trailers'}",5,"157,179,67,38,42",136.0,518.0,14
25,5.444545,127.5,72.0,13,1,1.2333,15.99,G,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,{'Trailers'},9,"1,4,7,47,166,167,187,136,91",228.0,923.0,22
26,2.717273,103.4091,72.0,14,1,1.4333,15.99,G,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,"{'Commentaries', 'Deleted Scenes'}",3,"71,128,130",75.0,309.0,22
27,1.374615,115.9231,168.0,15,1,2.9833,12.99,NC-17,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,"{'Deleted Scenes', 'Behind the Scenes'}",9,"99,110,7,140,148,154,170,179,55",224.0,927.0,13
28,5.723333,111.3333,120.0,5,1,1.5167,16.99,PG-13,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,"{'Deleted Scenes', 'Behind the Scenes'}",2,"74,162",53.0,200.0,15
29,3.79,112.0,120.0,1,1,2.8,11.99,NC-17,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",7,"175,6,13,187,197,105,122",207.0,767.0,10
30,5.212222,132.2222,96.0,11,1,1.3667,27.99,R,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",3,"163,178,9",69.0,267.0,9
31,5.764194,101.9032,120.0,8,1,1.5333,16.99,NC-17,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",4,"2,15,49,60",115.0,426.0,31
32,5.156667,101.5,144.0,13,1,1.9833,11.99,R,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,"{'Commentaries', 'Trailers'}",5,"79,158,162,168,183",138.0,524.0,6
34,1.759231,110.5385,144.0,11,1,1.0333,29.99,NC-17,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,"{'Commentaries', 'Deleted Scenes'}",12,"102,112,126,57,72,75,157,178,12,26,27,40",350.0,1350.0,13
35,4.781667,132.125,96.0,11,1,2.45,24.99,PG-13,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",8,"7,35,95,113,118,135,139,184",210.0,832.0,24
37,4.99,107.7619,72.0,4,1,2.0167,28.99,PG,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,"{'Deleted Scenes', 'Trailers'}",4,"112,130,12,64",113.0,454.0,21
39,2.180476,124.0,120.0,14,1,1.65,10.99,G,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,{'Trailers'},7,"191,104,118,65,84,145,177",206.0,777.0,21
40,2.615,117.875,96.0,6,1,2.4667,22.99,R,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,"{'Commentaries', 'Trailers'}",7,"181,183,96,104,3,77,79",186.0,704.0,16
42,4.365,129.0625,120.0,15,1,2.8333,10.99,NC-17,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,"{'Behind the Scenes', 'Trailers'}",7,"105,117,62,194,3,23,43",203.0,768.0,16
43,3.656667,112.6667,144.0,8,1,2.8333,15.99,G,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,{'Behind the Scenes'},9,"28,34,141,160,161,123,126,130,189",242.0,929.0,24
44,6.365,137.4375,120.0,14,1,1.8833,21.99,PG-13,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,"{'Behind the Scenes', 'Trailers'}",4,"193,74,18,106",108.0,394.0,16
45,6.115,105.5417,120.0,13,1,1.3833,14.99,PG-13,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,"{'Behind the Scenes', 'Trailers'}",4,"68,73,163,13",112.0,411.0,24
46,7.717273,123.9091,72.0,10,1,1.8,13.99,G,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,"{'Deleted Scenes', 'Commentaries', 'Behind the Scenes', 'Trailers'}",3,"59,65,84",92.0,341.0,11
47,5.74,114.125,120.0,9,1,2.55,23.99,NC-17,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,{'Commentaries'},8,"89,2,8,95,127,143,153,158",219.0,844.0,8
48,8.358421,148.3158,72.0,3,1,1.9667,24.99,PG-13,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,"{'Behind the Scenes', 'Trailers'}",7,"58,87,91,109,116,127,131",177.0,698.0,19
49,3.656667,108.6667,144.0,14,1,2.7,22.99,R,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",8,"115,118,119,130,171,173,200,83",220.0,882.0,21
50,4.99,110.2,72.0,8,1,3.0333,20.99,G,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,"{'Commentaries', 'Behind the Scenes'}",1,70,23.0,98.0,16
51,4.294348,133.8261,120.0,12,1,1.25,10.99,NC-17,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,{'Deleted Scenes'},6,"53,73,46,133,187,188",173.0,648.0,23
52,1.365,108.5,144.0,9,1,2.8833,29.99,G,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,"{'Commentaries', 'Deleted Scenes'}",7,"35,177,71,83,95,115,138",176.0,711.0,8
53,3.275714,109.0,120.0,8,1,1.45,25.99,NC-17,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",7,"102,149,156,6,30,47,70",180.0,727.0,7
54,1.944545,111.0455,120.0,12,1,1.8833,15.99,R,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",6,"59,62,190,96,5,20",165.0,620.0,22
55,3.87,137.8,144.0,14,1,1.0833,27.99,G,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,{'Behind the Scenes'},5,"166,173,177,66,118",132.0,517.0,25
56,3.712222,120.5556,144.0,1,1,2.15,15.99,G,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,"{'Commentaries', 'Trailers'}",8,"129,136,137,168,4,22,33,43",218.0,891.0,18
57,4.323333,111.25,96.0,16,1,1.5,18.99,PG-13,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,{'Deleted Scenes'},6,"148,172,120,130,139,67",149.0,605.0,21
58,3.813529,124.3529,144.0,6,1,2.0333,16.99,G,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,"{'Deleted Scenes', 'Behind the Scenes'}",7,"53,83,161,28,44,96,126",202.0,762.0,17
59,4.899091,131.3636,96.0,3,1,2.6667,20.99,R,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,{'Deleted Scenes'},3,"104,152,81",90.0,316.0,22
60,6.99,107.0,72.0,4,1,1.4833,22.99,R,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,"{'Deleted Scenes', 'Behind the Scenes'}",5,"76,94,101,6,41",146.0,536.0,11
61,6.035455,114.9545,120.0,7,1,2.9167,28.99,G,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,"{'Commentaries', 'Trailers'}",5,"166,174,111,136,138",135.0,552.0,22
62,4.156667,133.1667,120.0,6,1,1.7667,23.99,NC-17,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",5,"107,110,125,4,190",143.0,534.0,6
63,1.297692,99.4615,144.0,8,1,1.2167,21.99,PG,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",7,"197,20,120,51,56,150,167",203.0,773.0,13
64,1.535455,113.9091,144.0,7,1,2.5167,26.99,PG-13,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,"{'Commentaries', 'Behind the Scenes'}",6,"153,158,119,124,196,30",162.0,631.0,11
65,7.759231,127.4615,72.0,11,1,1.6667,20.99,PG,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",5,"32,45,179,95,135",135.0,538.0,13
66,1.69,106.7,144.0,3,1,0.8833,27.99,NC-17,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,"{'Commentaries', 'Deleted Scenes'}",7,"96,98,101,131,158,45,76",206.0,781.0,10
67,3.751429,104.45,120.0,1,1,1.2833,24.99,PG-13,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,{'Deleted Scenes'},10,"67,141,144,155,175,199,194,123,7,47",267.0,1059.0,21
68,6.123333,117.9333,120.0,3,1,2.0333,26.99,NC-17,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",4,"58,76,166,114",110.0,417.0,15
69,5.51381,125.5714,72.0,14,1,1.4167,21.99,R,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,{'Trailers'},4,"80,192,30,41",105.0,416.0,21
70,5.813529,143.4118,168.0,2,1,2.3667,26.99,NC-17,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,"{'Commentaries', 'Deleted Scenes'}",2,"6,104",51.0,198.0,17
71,7.913077,129.4615,72.0,8,1,1.6667,25.99,PG-13,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",3,"39,93,183",72.0,282.0,13
72,3.568947,116.6316,144.0,6,1,1.55,12.99,PG,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,"{'Commentaries', 'Trailers'}",6,"149,165,167,98,59,85",168.0,654.0,19
73,4.541724,136.4828,120.0,14,1,2.5,22.99,PG-13,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,"{'Commentaries', 'Trailers'}",5,"63,77,176,187,39",133.0,514.0,29
74,6.808182,132.2727,96.0,12,1,2.7,18.99,PG,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",6,"9,28,173,181,95,139",186.0,676.0,11
75,5.808182,133.0909,144.0,16,1,2.7167,14.99,G,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,"{'Commentaries', 'Behind the Scenes'}",2,"55,150",54.0,211.0,11
76,2.656667,126.3333,96.0,12,1,1.7167,23.99,NC-17,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",4,"122,187,88,94",111.0,400.0,9
77,6.212222,112.0,120.0,13,1,1.0167,15.99,G,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,"{'Behind the Scenes', 'Trailers'}",4,"73,109,30,140",99.0,403.0,18
78,3.397407,101.4074,168.0,2,1,1.4167,12.99,PG,A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,"{'Deleted Scenes', 'Trailers'}",5,"169,181,23,77,111",162.0,585.0,27
79,1.581364,97.381,120.0,7,1,1.9,10.99,PG-13,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,"{'Behind the Scenes', 'Trailers'}",5,"127,143,144,4,29",150.0,554.0,22
80,3.406667,147.0,168.0,8,1,2.4667,21.99,G,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,{'Trailers'},4,"16,173,193,200",97.0,387.0,12
81,5.49,121.7857,144.0,14,1,1.7167,29.99,PG-13,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,"{'Behind the Scenes', 'Trailers'}",3,"36,98,132",78.0,301.0,14
82,3.89,135.6,72.0,8,1,1.1833,13.99,G,A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",4,"128,132,189,159",102.0,384.0,10
83,4.037619,109.9524,120.0,8,1,0.8333,18.99,G,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",4,"181,106,122,24",123.0,433.0,21
84,5.19,110.2,168.0,16,1,1.7,13.99,PG,A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan,"{'Commentaries', 'Trailers'}",8,"18,32,44,99,113,54,199,191",198.0,813.0,15
85,2.0525,102.4375,96.0,6,1,1.05,29.99,G,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,{'Deleted Scenes'},9,"101,126,5,27,147,162,179,60,85",269.0,1016.0,16
86,5.644828,113.4643,144.0,12,1,2.0167,11.99,R,A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico,"{'Commentaries', 'Behind the Scenes'}",6,"78,25,41,194,166,177",147.0,610.0,29
88,4.99,99.0,168.0,16,1,2.9833,17.99,PG,A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",9,"194,59,64,69,21,31,44,116,135",219.0,887.0,12
89,1.262727,134.6364,168.0,2,1,1.05,22.99,G,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,"{'Commentaries', 'Behind the Scenes', 'Deleted Scenes'}",7,"129,81,161,176,15,22,43",207.0,796.0,22
90,3.545556,135.1765,72.0,13,1,1.05,11.99,R,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,{'Trailers'},8,"26,34,92,114,116,139,144,161",241.0,883.0,18
91,2.115,127.1304,120.0,4,1,1.6333,17.99,PG,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,{'Behind the Scenes'},2,"12,15",59.0,221.0,24
92,5.171818,74.5455,168.0,11,1,1.2,19.99,NC-17,A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California,"{'Deleted Scenes', 'Trailers'}",5,"12,168,52,70,85",142.0,534.0,11
93,6.24,107.9167,96.0,13,1,2.0167,27.99,PG,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,{'Trailers'},2,"169,26",62.0,227.0,12
94,3.39,96.2,168.0,8,1,2.9333,14.99,PG-13,A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin,"{'Deleted Scenes', 'Trailers'}",4,"44,150,92,131",123.0,438.0,5
95,6.460588,130.8235,120.0,13,1,2.05,18.99,G,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",5,"149,165,185,186,76",134.0,517.0,17
96,3.99,101.0,96.0,13,1,2.8167,21.99,PG-13,A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,"{'Commentaries', 'Trailers'}",6,"52,7,17,28,126,137",169.0,652.0,13
97,1.147895,107.8947,168.0,1,1,0.9333,24.99,G,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",1,65,34.0,117.0,19
98,7.143846,126.5385,96.0,7,1,1.2167,12.99,PG-13,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,{'Trailers'},4,"111,125,187,194",119.0,441.0,13
99,3.59,138.5,168.0,5,1,2.2667,14.99,PG,A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,{'Trailers'},2,"144,48",61.0,211.0,20
100,5.561429,130.9524,168.0,9,1,2.6833,21.99,R,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,{'Commentaries'},5,"41,172,62,90,125",147.0,539.0,21
101,3.913077,136.6154,72.0,6,1,1.2167,26.99,R,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,{'Behind the Scenes'},5,"129,16,48,57,62",142.0,528.0,26
102,5.99,106.0,96.0,15,1,1.0,20.99,R,A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,"{'Deleted Scenes', 'Commentaries', 'Behind the Scenes', 'Trailers'}",3,"158,170,188",89.0,360.0,6
103,5.313529,118.2059,168.0,16,1,2.2167,27.99,PG,A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,"{'Commentaries', 'Deleted Scenes'}",6,"193,51,89,92,26,32",162.0,614.0,34
104,5.080909,133.9091,96.0,9,1,1.9833,17.99,G,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,{'Commentaries'},2,"82,92",65.0,233.0,11
105,1.365,113.1333,144.0,1,1,2.0833,21.99,NC-17,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,{'Deleted Scenes'},8,"116,123,144,150,2,23,29,43",242.0,896.0,16
106,4.704286,124.5714,96.0,10,1,1.0167,14.99,G,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,{'Trailers'},4,"1,124,65,173",106.0,403.0,7
107,5.19,132.0,96.0,7,1,1.05,13.99,G,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,{'Behind the Scenes'},8,"142,167,98,130,139,12,28,40",235.0,911.0,5
109,4.123333,141.8333,72.0,13,1,1.4833,17.99,G,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,{'Behind the Scenes'},7,"53,44,193,198,145,178,179",203.0,758.0,30
110,2.723333,128.1333,96.0,3,1,0.8833,25.99,NC-17,A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,"{'Commentaries', 'Deleted Scenes'}",4,"187,83,13,29",130.0,462.0,15
111,3.24,110.8125,72.0,1,1,0.8667,17.99,NC-17,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,"{'Commentaries', 'Deleted Scenes'}",7,"3,22,38,50,69,154,188",184.0,765.0,16
112,6.751905,121.2381,96.0,9,1,2.0,22.99,NC-17,A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",8,"140,6,24,32,33,51,107,130",217.0,860.0,21
113,6.99,130.4167,96.0,15,1,1.25,19.99,NC-17,A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",2,"124,183",45.0,169.0,12
114,3.767778,132.6538,72.0,14,1,1.0167,26.99,NC-17,A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention,"{'Deleted Scenes', 'Commentaries', 'Behind the Scenes', 'Trailers'}",2,"125,57",61.0,223.0,27
115,4.779474,147.2632,120.0,1,1,2.7833,27.99,R,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,{'Behind the Scenes'},3,"168,8,45",83.0,312.0,19
116,5.378333,144.8824,96.0,4,1,1.1667,10.99,R,A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,"{'Deleted Scenes', 'Behind the Scenes'}",4,"23,200,105,113",118.0,445.0,18
117,5.598696,115.0,144.0,10,1,2.25,15.99,NC-17,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,"{'Deleted Scenes', 'Trailers'}",7,"23,45,146,65,74,89,192",217.0,767.0,23
118,1.463684,116.3333,168.0,2,1,1.4167,26.99,R,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,"{'Deleted Scenes', 'Trailers'}",6,"149,100,103,11,37,80",173.0,662.0,19
119,1.615,108.1667,144.0,5,1,2.9333,22.99,G,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,"{'Deleted Scenes', 'Commentaries', 'Trailers'}",7,"58,127,128,193,17,34,37",210.0,778.0,24
120,7.99,138.4444,72.0,15,1,1.5333,16.99,NC-17,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,"{'Commentaries', 'Deleted Scenes'}",8,"98,110,131,83,93,145,161,167",217.0,848.0,9
121,4.656667,123.1111,96.0,2,1,2.5167,15.99,PG,A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery,"{'Behind the Scenes', 'Trailers'}",7,"158,162,51,59,83,16,200",192.0,742.0,18
122,1.511739,113.8261,168.0,11,1,1.9,11.99,PG,A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies,"{'Commentaries', 'Behind the Scenes', 'Trailers'}",7,"196,53,57,76,94,157,37",221.0,809.0,23
123,5.1775,103.625,144.0,16,1,1.4167,22.99,G,A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station,"{'Deleted Scenes', 'Behind the Scenes', 'Trailers'}",4,"92,197,102,144",143.0,490.0,16
