address_id,district,city,country
591,Buenos Aires,Quilmes,Argentina
592,Nantou,Tsaotun,Taiwan
593,Guanajuato,Celaya,Mexico
594,Shandong,Weifang,China
595,Loja,Loja,Ecuador
596,al-Manama,al-Manama,Bahrain
597,Minas Gerais,Juiz de Fora,Brazil
598,Fejr,Szkesfehrvr,Hungary
599,California,Garden Grove,United States
600,Inner Mongolia,Jining,China
601,Liaoning,Jinzhou,China
602,West Greece,Patras,Greece
603,Piura,Sullana,Peru
604,Vaud,Lausanne,Switzerland
605,Heilongjiang,Tieli,China
